timestamp,nb_url_sent,time_load,time_train,size_batch_training
2021-04-17 22:18:02.265043,1.0,,,
2021-04-17 22:18:02.366420,1.0,,,
2021-04-17 22:18:02.366769,1.0,,,
2021-04-17 22:18:02.367079,1.0,,,
2021-04-17 22:18:02.367384,1.0,,,
2021-04-17 22:18:02.367666,1.0,,,
2021-04-17 22:18:02.367976,1.0,,,
2021-04-17 22:18:02.368255,1.0,,,
2021-04-17 22:18:02.368547,1.0,,,
2021-04-17 22:18:02.369700,1.0,,,
2021-04-17 22:18:02.370078,1.0,,,
2021-04-17 22:18:02.370387,1.0,,,
2021-04-17 22:18:02.370707,1.0,,,
2021-04-17 22:18:02.371016,1.0,,,
2021-04-17 22:18:02.371310,1.0,,,
2021-04-17 22:18:02.371603,1.0,,,
2021-04-17 22:18:02.371899,1.0,,,
2021-04-17 22:18:02.372298,1.0,,,
2021-04-17 22:18:02.372599,1.0,,,
2021-04-17 22:18:02.372906,1.0,,,
2021-04-17 22:18:02.373219,1.0,,,
2021-04-17 22:18:02.378634,1.0,,,
2021-04-17 22:18:02.380674,1.0,,,
2021-04-17 22:18:02.380974,1.0,,,
2021-04-17 22:18:02.381267,1.0,,,
2021-04-17 22:18:02.381623,1.0,,,
2021-04-17 22:18:02.381915,1.0,,,
2021-04-17 22:18:02.382205,1.0,,,
2021-04-17 22:18:02.382495,1.0,,,
2021-04-17 22:18:02.382779,1.0,,,
2021-04-17 22:18:02.383068,1.0,,,
2021-04-17 22:18:02.383361,1.0,,,
2021-04-17 22:18:02.383653,1.0,,,
2021-04-17 22:18:02.384000,1.0,,,
2021-04-17 22:18:02.384389,1.0,,,
2021-04-17 22:18:02.384679,1.0,,,
2021-04-17 22:18:02.384967,1.0,,,
2021-04-17 22:18:02.385261,1.0,,,
2021-04-17 22:18:02.385555,1.0,,,
2021-04-17 22:18:02.385843,1.0,,,
2021-04-17 22:18:02.386132,1.0,,,
2021-04-17 22:18:02.386419,1.0,,,
2021-04-17 22:18:02.386767,1.0,,,
2021-04-17 22:18:02.387054,1.0,,,
2021-04-17 22:18:02.387355,1.0,,,
2021-04-17 22:18:02.387646,1.0,,,
2021-04-17 22:18:02.387936,1.0,,,
2021-04-17 22:18:02.388246,1.0,,,
2021-04-17 22:18:02.388538,1.0,,,
2021-04-17 22:18:02.388941,1.0,,,
2021-04-17 22:18:02.320105,1.0,,,
2021-04-17 22:18:02.423694,1.0,,,
2021-04-17 22:18:02.425746,1.0,,,
2021-04-17 22:18:02.428089,1.0,,,
2021-04-17 22:18:02.429799,1.0,,,
2021-04-17 22:18:02.430336,1.0,,,
2021-04-17 22:18:02.430640,1.0,,,
2021-04-17 22:18:02.430920,1.0,,,
2021-04-17 22:18:02.431225,1.0,,,
2021-04-17 22:18:02.431534,1.0,,,
2021-04-17 22:18:02.431828,1.0,,,
2021-04-17 22:18:02.432130,1.0,,,
2021-04-17 22:18:02.432406,1.0,,,
2021-04-17 22:18:02.432778,1.0,,,
2021-04-17 22:18:02.433078,1.0,,,
2021-04-17 22:18:02.433373,1.0,,,
2021-04-17 22:18:02.433668,1.0,,,
2021-04-17 22:18:02.433980,1.0,,,
2021-04-17 22:18:02.434461,1.0,,,
2021-04-17 22:18:02.434762,1.0,,,
2021-04-17 22:18:02.435054,1.0,,,
2021-04-17 22:18:02.435345,1.0,,,
2021-04-17 22:18:02.435706,1.0,,,
2021-04-17 22:18:02.436449,1.0,,,
2021-04-17 22:18:02.436757,1.0,,,
2021-04-17 22:18:02.437054,1.0,,,
